snomed_code,snomed_description,cpt_code,cpt_description
243796009,Situation examination,99213,Office or other outpatient visit established patient moderate complexity
31099001,Post-operative visit,99024,Postoperative follow-up visit included in surgical package
260385009,Negative finding examination,99213,Office or other outpatient visit established patient moderate complexity
19887002,Pap smear,88141,Cytopathology cervical or vaginal manual screening under physician supervision
172524000,Mammography,77067,Screening mammography bilateral two-view
81740001,Prostate-specific antigen,86316,Immunoassay for analyte quantitative not otherwise specified
41999001,Skin biopsy,11100,Biopsy of skin subcutaneous tissue and/or mucous membrane single lesion
82354003,Intradermal injection,96372,Therapeutic prophylactic or diagnostic injection subcutaneous or intramuscular
373110003,Allergy skin test,95004,Percutaneous tests sequential and incremental with allergenic extracts for airborne allergens
180461008,Allergy immunotherapy,95115,Professional services for allergen immunotherapy not including provision of allergenic extracts single injection
710925007,Suture laceration,12001,Simple repair of superficial wounds of scalp neck axillae external genitalia trunk or extremities 2.5 cm or less
274031008,Emergency intubation,31500,Intubation endotracheal emergency procedure
47545007,Defibrillation,92960,Cardioversion elective electrical conversion of arrhythmia
168187007,ECG monitoring,93040,Rhythm ECG one to three leads
312993001,Phlebotomy,36415,Collection of venous blood by venipuncture
396550006,Blood culture,87040,Culture bacterial blood aerobic
47978003,Urine analysis,81002,Urinalysis manual without microscopy
104375008,Rapid strep test,87880,Infectious agent antigen detection by immunoassay with direct optical Group A Streptococcus
47015008,Influenza test,87804,Infectious agent antigen detection by immunoassay influenza virus type B
168537006,Flu rapid test,87502,Infectious agent detection by nucleic acid influenza virus types A and B
118434003,HIV test,86701,Antibody HIV-1
11911009,Hepatitis panel,80074,Acute hepatitis panel
15220000,Laboratory panel,80053,Comprehensive metabolic panel
74770003,Basic metabolic panel,80047,Basic metabolic panel calcium ionized
